Date,Time,Taxi_Vendor
2014-04-01,462503,462503
2014-04-02,483841,483841
2014-04-03,499912,499912
2014-04-04,544519,544519
2014-04-05,543175,543175
2014-04-06,475267,475267
2014-04-07,460614,460614
2014-04-08,467018,467018
2014-04-09,484663,484663
2014-04-10,498870,498870
2014-04-11,506025,506025
2014-04-12,540202,540202
2014-04-13,472041,472041
2014-04-14,419268,419268
2014-04-15,481424,481424
2014-04-16,495438,495438
2014-04-17,508415,508415
2014-04-18,514893,514893
2014-04-19,483916,483916
2014-04-20,429066,429066
2014-04-21,421347,421347
2014-04-22,463407,463407
2014-04-23,501335,501335
2014-04-24,505056,505056
2014-04-25,526282,526282
2014-04-26,540090,540090
2014-04-27,473210,473210
2014-04-28,436246,436246
2014-04-29,483147,483147
2014-04-30,497569,497569
