Date,Time,Taxi_Vendor
2014-08-01,453428,453428
2014-08-02,440096,440096
2014-08-03,397765,397765
2014-08-04,392871,392871
2014-08-05,422243,422243
2014-08-06,439508,439508
2014-08-07,446629,446629
2014-08-08,445799,445799
2014-08-09,420314,420314
2014-08-10,372124,372124
2014-08-11,377494,377494
2014-08-12,413297,413297
2014-08-13,434391,434391
2014-08-14,439289,439289
2014-08-15,444148,444148
2014-08-16,419353,419353
2014-08-17,380140,380140
2014-08-18,376662,376662
2014-08-19,405997,405997
2014-08-20,422389,422389
2014-08-21,441620,441620
2014-08-22,419858,419858
2014-08-23,402490,402490
2014-08-24,364236,364236
2014-08-25,357998,357998
2014-08-26,389266,389266
2014-08-27,415610,415610
2014-08-28,414649,414649
2014-08-29,410496,410496
2014-08-30,376328,376328
2014-08-31,352389,352389
