Date,Time,Taxi_Vendor
2014-12-01,399044,399044
2014-12-02,440620,440620
2014-12-03,438432,438432
2014-12-04,458616,458616
2014-12-05,496034,496034
2014-12-06,508899,508899
2014-12-07,460972,460972
2014-12-08,431042,431042
2014-12-09,437220,437220
2014-12-10,447350,447350
2014-12-11,469687,469687
2014-12-12,497272,497272
2014-12-13,501276,501276
2014-12-14,441365,441365
2014-12-15,410459,410459
2014-12-16,439779,439779
2014-12-17,456564,456564
2014-12-18,482660,482660
2014-12-19,509016,509016
2014-12-20,494266,494266
2014-12-21,419889,419889
2014-12-22,382112,382112
2014-12-23,384346,384346
2014-12-24,348267,348267
2014-12-25,210250,210250
2014-12-26,278667,278667
2014-12-27,323696,323696
2014-12-28,323916,323916
2014-12-29,339450,339450
2014-12-30,377702,377702
2014-12-31,405293,405293
