Date,Time,Taxi_Vendor
2015-02-01,423113,423113
2015-02-02,336849,336849
2015-02-03,421128,421128
2015-02-04,415624,415624
2015-02-05,459717,459717
2015-02-06,476995,476995
2015-02-07,485504,485504
2015-02-08,410477,410477
2015-02-09,381114,381114
2015-02-10,424564,424564
2015-02-11,447258,447258
2015-02-12,463682,463682
2015-02-13,486241,486241
2015-02-14,501397,501397
2015-02-15,459094,459094
2015-02-16,412835,412835
2015-02-17,394363,394363
2015-02-18,436607,436607
2015-02-19,477678,477678
2015-02-20,498957,498957
2015-02-21,455297,455297
2015-02-22,399059,399059
2015-02-23,431831,431831
2015-02-24,448513,448513
2015-02-25,444233,444233
2015-02-26,471732,471732
2015-02-27,487022,487022
2015-02-28,499637,499637
