Date,Time,Taxi_Vendor
2015-01-01,382014,382014
2015-01-02,345296,345296
2015-01-03,406769,406769
2015-01-04,328848,328848
2015-01-05,363454,363454
2015-01-06,384324,384324
2015-01-07,429653,429653
2015-01-08,450920,450920
2015-01-09,447947,447947
2015-01-10,515540,515540
2015-01-11,419629,419629
2015-01-12,396367,396367
2015-01-13,448517,448517
2015-01-14,442656,442656
2015-01-15,451186,451186
2015-01-16,478124,478124
2015-01-17,476827,476827
2015-01-18,427042,427042
2015-01-19,342795,342795
2015-01-20,405581,405581
2015-01-21,431486,431486
2015-01-22,452108,452108
2015-01-23,472440,472440
2015-01-24,460505,460505
2015-01-25,407579,407579
2015-01-26,230255,230255
2015-01-27,135500,135500
2015-01-28,380192,380192
2015-01-29,431985,431985
2015-01-30,483380,483380
2015-01-31,520067,520067
