Date,Time,Taxi_Vendor
2014-07-01,445743,445743
2014-07-02,439423,439423
2014-07-03,417460,417460
2014-07-04,309652,309652
2014-07-05,308304,308304
2014-07-06,313544,313544
2014-07-07,378451,378451
2014-07-08,434856,434856
2014-07-09,448579,448579
2014-07-10,456003,456003
2014-07-11,458597,458597
2014-07-12,447090,447090
2014-07-13,410483,410483
2014-07-14,416403,416403
2014-07-15,436616,436616
2014-07-16,449192,449192
2014-07-17,457123,457123
2014-07-18,460247,460247
2014-07-19,445222,445222
2014-07-20,398703,398703
2014-07-21,399110,399110
2014-07-22,447126,447126
2014-07-23,466725,466725
2014-07-24,461698,461698
2014-07-25,461493,461493
2014-07-26,448388,448388
2014-07-27,403948,403948
2014-07-28,368733,368733
2014-07-29,422448,422448
2014-07-30,441490,441490
2014-07-31,453515,453515
