Date,Time,Taxi_Vendor
2015-06-01,400833,400833
2015-06-02,419994,419994
2015-06-03,425776,425776
2015-06-04,444543,444543
2015-06-05,451185,451185
2015-06-06,449804,449804
2015-06-07,402188,402188
2015-06-08,391087,391087
2015-06-09,409188,409188
2015-06-10,424356,424356
2015-06-11,439869,439869
2015-06-12,443026,443026
2015-06-13,428004,428004
2015-06-14,382037,382037
2015-06-15,374858,374858
2015-06-16,400518,400518
2015-06-17,425743,425743
2015-06-18,429386,429386
2015-06-19,436303,436303
2015-06-20,413866,413866
2015-06-21,366158,366158
2015-06-22,374849,374849
2015-06-23,406139,406139
2015-06-24,411370,411370
2015-06-25,419739,419739
2015-06-26,425774,425774
2015-06-27,445861,445861
2015-06-28,348433,348433
2015-06-29,359808,359808
2015-06-30,374240,374240
