Date,Time,Taxi_Vendor
2015-03-01,385267,385267
2015-03-02,388548,388548
2015-03-03,397691,397691
2015-03-04,435759,435759
2015-03-05,366435,366435
2015-03-06,446842,446842
2015-03-07,504246,504246
2015-03-08,411917,411917
2015-03-09,392009,392009
2015-03-10,413949,413949
2015-03-11,428366,428366
2015-03-12,461719,461719
2015-03-13,476936,476936
2015-03-14,496525,496525
2015-03-15,418778,418778
2015-03-16,374820,374820
2015-03-17,413376,413376
2015-03-18,452981,452981
2015-03-19,451904,451904
2015-03-20,458225,458225
2015-03-21,468108,468108
2015-03-22,429016,429016
2015-03-23,390353,390353
2015-03-24,412152,412152
2015-03-25,427026,427026
2015-03-26,427632,427632
2015-03-27,465493,465493
2015-03-28,510351,510351
2015-03-29,424267,424267
2015-03-30,391004,391004
2015-03-31,429914,429914
