Date,Time,Taxi_Vendor
2015-05-01,461547,461547
2015-05-02,507619,507619
2015-05-03,434789,434789
2015-05-04,390266,390266
2015-05-05,432452,432452
2015-05-06,444948,444948
2015-05-07,442222,442222
2015-05-08,449009,449009
2015-05-09,469017,469017
2015-05-10,405427,405427
2015-05-11,395280,395280
2015-05-12,424512,424512
2015-05-13,439371,439371
2015-05-14,439936,439936
2015-05-15,457541,457541
2015-05-16,479580,479580
2015-05-17,423198,423198
2015-05-18,403641,403641
2015-05-19,432943,432943
2015-05-20,441232,441232
2015-05-21,446819,446819
2015-05-22,419629,419629
2015-05-23,383363,383363
2015-05-24,336652,336652
2015-05-25,301706,301706
2015-05-26,387134,387134
2015-05-27,415919,415919
2015-05-28,432112,432112
2015-05-29,441299,441299
2015-05-30,451080,451080
2015-05-31,368019,368019
