Date,Time,Taxi_Vendor
2014-11-01,561404,561404
2014-11-02,435721,435721
2014-11-03,412503,412503
2014-11-04,424682,424682
2014-11-05,449110,449110
2014-11-06,470232,470232
2014-11-07,486697,486697
2014-11-08,515675,515675
2014-11-09,445908,445908
2014-11-10,407197,407197
2014-11-11,402435,402435
2014-11-12,444745,444745
2014-11-13,464077,464077
2014-11-14,491482,491482
2014-11-15,508043,508043
2014-11-16,442084,442084
2014-11-17,402189,402189
2014-11-18,456387,456387
2014-11-19,458644,458644
2014-11-20,458620,458620
2014-11-21,495376,495376
2014-11-22,516116,516116
2014-11-23,425989,425989
2014-11-24,398633,398633
2014-11-25,409243,409243
2014-11-26,425449,425449
2014-11-27,296309,296309
2014-11-28,347711,347711
2014-11-29,395378,395378
2014-11-30,370177,370177
