Date,Time,Taxi_Vendor
2014-10-01,458010,458010
2014-10-02,467301,467301
2014-10-03,485297,485297
2014-10-04,467371,467371
2014-10-05,416216,416216
2014-10-06,409584,409584
2014-10-07,436891,436891
2014-10-08,456070,456070
2014-10-09,477361,477361
2014-10-10,489982,489982
2014-10-11,509530,509530
2014-10-12,437673,437673
2014-10-13,389171,389171
2014-10-14,431529,431529
2014-10-15,456636,456636
2014-10-16,481635,481635
2014-10-17,492494,492494
2014-10-18,513702,513702
2014-10-19,461858,461858
2014-10-20,416422,416422
2014-10-21,445571,445571
2014-10-22,461722,461722
2014-10-23,471818,471818
2014-10-24,492064,492064
2014-10-25,500873,500873
2014-10-26,441193,441193
2014-10-27,411856,411856
2014-10-28,434802,434802
2014-10-29,454041,454041
2014-10-30,469494,469494
2014-10-31,494320,494320
