Date,Time,Taxi_Vendor
2014-09-01,319157,319157
2014-09-02,408333,408333
2014-09-03,441040,441040
2014-09-04,469500,469500
2014-09-05,496714,496714
2014-09-06,503100,503100
2014-09-07,445959,445959
2014-09-08,430611,430611
2014-09-09,450763,450763
2014-09-10,466592,466592
2014-09-11,478607,478607
2014-09-12,486929,486929
2014-09-13,513501,513501
2014-09-14,450849,450849
2014-09-15,421980,421980
2014-09-16,447618,447618
2014-09-17,451216,451216
2014-09-18,464358,464358
2014-09-19,488834,488834
2014-09-20,492576,492576
2014-09-21,402953,402953
2014-09-22,393656,393656
2014-09-23,401123,401123
2014-09-24,416770,416770
2014-09-25,426440,426440
2014-09-26,448361,448361
2014-09-27,486921,486921
2014-09-28,433820,433820
2014-09-29,400318,400318
2014-09-30,435417,435417
